,abb,Pop
0,CA,39995077
1,TX,29945493
2,FL,22085563
3,NY,20365879
4,PA,13062764
5,IL,12808884
6,OH,11852036
7,GA,10916760
8,NC,10620168
9,MI,10116069
10,NJ,9388414
11,VA,8757467
12,WA,7901429
13,AZ,7303398
14,MA,7126375
15,TN,7023788
16,IN,6845874
17,MD,6257958
18,MO,6188111
19,WI,5935064
20,CO,5922618
21,MN,5787008
22,SC,5217037
23,AL,5073187
24,LA,4682633
25,KY,4539130
26,OR,4318492
27,OK,4000953
28,CT,3612314
29,UT,3373162
30,IA,3219171
31,NV,3185426
32,AR,3030646
33,MS,2960075
34,KS,2954832
35,NM,2129190
36,NE,1988536
37,ID,1893410
38,WV,1781860
39,HI,1474265
40,NH,1389741
41,ME,1369159
42,RI,1106341
43,MT,1103187
44,DE,1008350
45,SD,901165
46,ND,800394
47,AK,738023
48,VT,646545
49,WY,579495
